,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
269,2020-01-01 00:28:20 UTC,remove_from_cart,5736429,1487580011585077370,,,15.48,504269664,83b31b31-e728-47a9-a34f-093062cb49ea
340,2020-01-01 00:33:47 UTC,remove_from_cart,5822650,1487580005553668971,,,19.05,595415690,5825336b-6e67-43f3-8ab4-7d6536da2df1
467,2020-01-01 00:42:17 UTC,view,5854899,2151191071118328683,,irisk,2.86,595420067,728cb326-37f5-4b08-a12f-b65f998a1fcc
755,2020-01-01 01:08:43 UTC,cart,6495,1487580007910867929,,runail,2.78,530095744,5f9a463e-c3d3-4879-8237-cc88f3225a6f
790,2020-01-01 01:11:07 UTC,cart,5669020,1487580008162526182,,,3.02,591285591,15025c3e-9f77-4d2e-864f-554f5e25f5f4
1312,2020-01-01 02:05:18 UTC,view,5854574,1487580006350586771,appliances.environment.vacuum,jessnail,21.43,575961087,5581429a-6a67-4fb3-bd64-9cec04d40055
1329,2020-01-01 02:08:41 UTC,view,5800916,1487580011652186237,,,26.98,290198135,e0cba076-51fb-4977-a54f-e343163d6aee
1375,2020-01-01 02:14:46 UTC,remove_from_cart,5698505,1487580007575323592,,ingarden,1.51,432257779,b72008ae-1f16-4397-bedb-da7419fccc98
2780,2020-01-01 04:20:12 UTC,view,5852073,1924049106385240809,,,4.13,508437329,0cbf7081-019d-45bb-84b7-77942a5f4c2a
2870,2020-01-01 04:26:23 UTC,cart,4663,1487580010821714008,,runail,0.38,397780878,72c406e2-2e65-47e6-99e2-09ce9a717616
4250,2020-01-01 05:45:21 UTC,cart,5550080,1487580005595612013,,,3.0,572792002,b9a22787-b253-434d-afad-6216b77db36d
4331,2020-01-01 05:50:29 UTC,view,5911709,1487580005754995573,,,4.44,548676596,420407ef-74f5-4172-b0a7-1cb00db83e84
4352,2020-01-01 05:51:24 UTC,view,5884579,1487580006350586771,appliances.environment.vacuum,max,63.33,588440825,1c2263d3-fc6e-4f3c-a230-b5dac84ac077
5985,2020-01-01 07:00:40 UTC,view,5649213,1487580005092295511,,,8.73,594429607,a181aef1-0319-417c-9b81-f54e99253f2e
6119,2020-01-01 07:06:26 UTC,cart,5686925,1487580009311764506,,,0.35,397860448,c4097558-de27-0cc8-0925-b7836c72a349
6742,2020-01-01 07:30:07 UTC,cart,5751422,1487580005268456287,,uno,10.95,559527779,9c45b647-2f82-4b85-9f05-b2c8399e80b1
7198,2020-01-01 07:48:34 UTC,purchase,24390,1487580009202712597,,depilflax,5.56,592063914,46b1ea98-36e5-4e6a-8009-c55d790fccd5
7532,2020-01-01 07:59:47 UTC,cart,5683350,1487580005671109489,,masura,2.84,590123060,b77ec8f9-1312-4a68-b5ac-fb1b6c116b71
7726,2020-01-01 08:06:04 UTC,view,5565082,1487580005595612013,,,3.0,580850463,2f3f33b5-4278-49c6-a5cd-bc082b7319a2
8339,2020-01-01 08:21:37 UTC,view,5677043,1487580008246412266,,estel,13.33,501860869,eb013313-e053-403f-854d-edfe3ff870cc
8740,2020-01-01 08:30:05 UTC,view,5847334,1982860244379763042,,,7.14,230788374,291bfbaa-f2d3-42fd-8bd1-70472d086a27
8848,2020-01-01 08:32:31 UTC,purchase,5833335,1487580007675986893,,bpw.style,1.59,294129464,c356a251-7f87-ab12-ee58-bad66061c6f7
8993,2020-01-01 08:35:41 UTC,purchase,42615,1487580011383750769,,swarovski,2.06,590247610,99b484c4-5dfc-43bb-b00c-4bcb5d0b8de6
9820,2020-01-01 08:53:04 UTC,purchase,5843567,1783999071199952917,,,0.48,566666943,456f351b-680e-3f11-e7ce-7700a557ceef
10878,2020-01-01 09:13:14 UTC,view,5878901,1487580007717929935,,freedecor,1.27,541570388,85d8edee-92b3-4767-9866-9029fe389679
11653,2020-01-01 09:28:35 UTC,cart,5870210,2029731308699124089,,levrana,4.76,436882709,fe278958-39d5-432f-8690-29f889f1718e
12423,2020-01-01 09:40:58 UTC,view,5861995,1487580010695884882,accessories.bag,,46.02,595514801,562b31b3-cb47-4c96-8bad-bbe2d8efa42a
12464,2020-01-01 09:41:49 UTC,view,5812120,1761186209054327497,,art-visage,3.02,439218634,76aeeabc-e089-46af-a426-0e0c489966d6
13460,2020-01-01 09:57:46 UTC,view,5837850,1487580008347075566,,,3.49,595518856,2faf968b-a8cb-46ae-b3da-6c603a2094f8
13644,2020-01-01 10:00:13 UTC,remove_from_cart,5878923,1487580007256556476,,,8.1,581024174,98e67f37-4250-4c83-9548-e5bf0430b559
13719,2020-01-01 10:01:12 UTC,cart,5889169,2134354342373753638,,,3.49,505419579,44f3d311-e60a-46ae-8f28-ddbcf8dfe9b8
15090,2020-01-01 10:18:06 UTC,cart,5868868,2018395024110125980,,,9.84,486629722,65e930ab-ae99-4ed9-aab0-5811100fd326
15527,2020-01-01 10:23:56 UTC,remove_from_cart,5837405,1933364344720982871,,,4.76,595518856,6b53a8f7-fb91-44cd-9c40-c3d724c1024d
15530,2020-01-01 10:23:59 UTC,cart,5788145,1487580005754995573,,,6.35,566036151,bccae167-0f96-4f51-a090-3032c68c98e7
15670,2020-01-01 10:25:26 UTC,view,5659916,1487580006409307030,,airnails,2.86,595528154,47d0cdb8-ff3e-4a5e-91fa-c9787e380fc7
16127,2020-01-01 10:32:28 UTC,view,5772165,1487580005092295511,,grattol,6.27,595518856,6b53a8f7-fb91-44cd-9c40-c3d724c1024d
16319,2020-01-01 10:35:31 UTC,cart,5914102,1487580013824835799,,dewal,3.6,595528186,c668b973-f6ba-40a5-b67c-45259709de55
16428,2020-01-01 10:36:59 UTC,remove_from_cart,5717245,1487580008145748965,,,0.95,535609707,bd0d063f-53e7-4b31-85e8-329ccb5cea6c
16456,2020-01-01 10:37:18 UTC,remove_from_cart,5859184,1487580007432717250,,,2.19,535609707,bd0d063f-53e7-4b31-85e8-329ccb5cea6c
16584,2020-01-01 10:39:05 UTC,cart,5772285,1602943681873052386,,grattol,6.03,595518856,6b53a8f7-fb91-44cd-9c40-c3d724c1024d
16711,2020-01-01 10:41:17 UTC,view,5699801,1487580005268456287,,runail,6.11,594833615,c0df6134-233f-40e2-97ea-95980283362a
16745,2020-01-01 10:41:40 UTC,remove_from_cart,5809910,1602943681873052386,,grattol,5.24,549304039,2b779089-f8c9-42af-84dd-139cbdaf5f38
16834,2020-01-01 10:43:18 UTC,view,5693593,1487580013841613016,,estel,2.62,481772347,4f5b0380-8da9-4cbd-a6ad-e8ef4f651966
16957,2020-01-01 10:45:18 UTC,view,5596128,1487580005595612013,,,1.25,595530157,7993c1fe-f87f-42bf-8a36-97870f7d71e5
18079,2020-01-01 10:59:37 UTC,remove_from_cart,5739057,1487580008263189483,,kapous,4.75,413759078,5e861d41-dd16-436f-8e4d-0e940835e2da
18658,2020-01-01 11:06:30 UTC,view,5864807,1638456119066100510,,pole,4.11,565459061,a8204735-34c8-4985-bfdd-f25a6773415f
19040,2020-01-01 11:11:26 UTC,cart,5739125,1487580008246412266,,kapous,4.4,536632561,fa3fd6f6-ad47-44c8-800b-5ce2e69686a1
19555,2020-01-01 11:18:37 UTC,remove_from_cart,5683751,1487580005595612013,,,3.0,340189216,acac13e9-5049-49c3-9c5b-d5c38df76bfb
19927,2020-01-01 11:24:36 UTC,view,5883797,1487580008347075566,,,3.81,347850889,99c95a51-4e57-40ca-96f1-f146aa18df70
